URL,Traffic,Traffic value,Keywords,Referring domains,Top keyword: Country,Top keyword,Top keyword: Volume,Top keyword: Position
https://e8markets.com/,14110,36059.82,2267,603,United States,e8 markets,6200,1
https://e8markets.com/about/discount,323,2805.34,46,0,United States,e8 discount code,500,1
https://e8markets.com/about-e8-markets/,244,519.00,18,4,United States,e8 markets,6200,1
https://e8markets.com/e8-markets-evaluation/forex/,222,489.62,6,0,United States,e8 markets,6200,1
https://e8markets.com/meet-e8-markets/,214,472.93,8,10,United States,e8 markets,6200,1
https://e8x.e8markets.com/,172,581.98,28,4,United States,e8x,80,1
https://e8markets.com/e8-markets-evaluation/,155,309.19,4,2,United States,e8 markets,6200,1
https://e8markets.com/about/trial-account,122,271.25,39,2,United States,e8 markets,6200,1
https://e8markets.com/meet-e8-markets,116,394.67,13,10,United States,e8,3700,1
https://e8markets.com/about-e8-markets,106,350.74,11,4,United States,e8,3700,1
https://e8markets.com/e8-markets-evaluation/forex,102,383.46,6,0,United States,e8,3700,1
https://e8markets.com/e8-markets-evaluation,73,313.55,8,2,United States,e8,3700,1
https://help.e8markets.com/en/articles/10751503-how-do-you-log-in-to-your-tradelocker-account,55,77.48,5,0,United Kingdom,tradelocker login,350,7
https://e8markets.com/e8-markets-evaluation/futures,53,252.29,15,1,United States,e8,3700,1
https://e8markets.com/e8-markets-evaluation/futures/,39,40.81,12,1,Uzbekistan,e8,300,1
https://help.e8markets.com/en/articles/9122448-what-is-the-e8-one-account,17,48.29,1,0,United Kingdom,e8,1700,1
https://e8markets.com/e8-traders-stories,11,10.67,6,1,Pakistan,e8,250,1
https://help.e8markets.com/en/articles/9453488-what-are-the-contract-sizes,8,0.00,5,0,United States,contract size,90,8
https://blog.e8markets.com/categories/e8-traders,7,3.60,8,0,Thailand,e8,450,1
https://e8markets.com/e8-traders-stories/,6,17.15,4,1,France,e8,600,1
https://help.e8markets.com/en/articles/9122280-trailing-drawdown-calculation-and-explanation-for-e8-one-account,4,1.10,6,0,United States,what is trailing drawdown,90,13
https://help.e8markets.com/en/articles/5514271-where-is-e8-markets-located,2,,1,,United Kingdom,where is e8,80,10
https://help.e8markets.com/en/,2,1.24,2,8,Turkey,e8,800,1
https://help.e8markets.com/en/articles/9952284-how-do-you-log-in-to-your-ctrader-account,2,2.64,2,0,United States,ctrader login,50,12
