Domain,Competitor's keywords,Common keywords,Share,Target's keywords,DR,Traffic,Traffic value,Pages
fundingtraders.com,822,397,17.8%,1001,47,4588,14237.41,168
thefundedtraderprogram.com,1519,449,15.3%,949,55,13080,29150.86,178
fxify.com,2055,510,14.7%,888,46,9173,28255.64,11
fundingpips.com,3921,680,12.7%,718,54,14113,15219.22,57
the5ers.com,4063,563,10.3%,835,65,9933,4532.56,412
propfirmmatch.com,4922,545,8.6%,853,49,30877,72074.72,588
fundednext.com,8043,716,7.5%,682,61,21129,30130.09,368
topstep.com,10334,703,5.9%,695,59,345735,1103636.40,457
tradelocker.com,4996,373,5.8%,1025,49,26806,49325.86,281
earn2trade.com,5344,310,4.5%,1088,59,6070,11469.91,744
instantfunding.io,173,23,2.3%,780,45,1860,3911.38,112
axi.com,19707,439,2%,959,72,37272,53028.32,1668
ninjatrader.com,20319,255,1.1%,1143,77,88724,325416.29,7042
babypips.com,50662,414,0.7%,984,75,64405,70618.90,8954
oanda.com,88857,594,0.6%,804,84,729620,818746.04,3578
forex.com,106409,389,0.3%,1009,76,505832,817424.88,11404
ig.com,153355,345,0.2%,1053,81,307707,451166.42,19559
cmegroup.com,164989,217,0.1%,1181,85,469650,569024.93,12829
discord.com,353443,83,0%,1315,94,14579635,1535028.16,66823
tradingview.com,749741,363,0%,1035,91,5932113,5631493.56,245307
